x,y
8.574505241,114.2428974
29.59441577,118.3443433
51.12700705,117.5753222
67.2764505,112.9611955
84.70759582,100.913198
95.47389146,87.83983903
102.6514219,74.25379929
108.5472504,58.87337695
112.392356,42.98027387
114.443079,26.83083041
112.6486964,10.93772733
105.2148256,-2.904652776
93.42316848,-12.64558692
77.5300654,-17.25971363
61.12428157,-20.07945772
40.10437104,-21.61749996
24.46760832,-25.46260554
8.830845613,-27.25698815
-7.318597844,-24.69358442
-21.16097795,-17.25971363
-35.77237917,-1.879291287
-42.9499096,11.96308882
-47.5640363,28.11253228
-49.10207853,44.26197573
-47.05135555,61.69312105
-41.15552699,76.30452227
-31.41459284,90.14690238
-19.62293572,100.6568576
-8.343959333,107.3217073
8.574505241,114.2428974
